show_id,category,win,year
37,Outstanding Music Composition For A Series (Original Dramatic Score),False,2009
37,Outstanding Animated Program (for programming less than one hour),False,2009
37,Outstanding Voice-Over Performance,True,2010
37,Outstanding Individual Achievement In Animation,True,2010
37,Outstanding Animated Program,False,2010
37,Outstanding Voice-Over Performance,False,2011
37,Outstanding Music Composition For A Series (Original Dramatic Score),False,2011
37,Outstanding Animated Program,False,2011
37,Outstanding Voice-Over Performance,False,2012
37,Outstanding Animated Program,False,2012
37,Outstanding Individual Achievement In Animation,True,2013
37,Outstanding Animated Program,False,2013
37,Outstanding Character Voice-Over Performance,True,2014
37,Outstanding Sound Mixing For A Comedy Or Drama Series (Half-Hour) And Animation,False,2014
37,Outstanding Character Voice-Over Performance,True,2015
37,Outstanding Animated Program,False,2015
37,Outstanding Sound Mixing For A Comedy Or Drama Series (Half-Hour) And Animation,False,2015
37,Outstanding Sound Mixing For A Comedy Or Drama Series (Half-Hour) And Animation,False,2016
37,Outstanding Animated Program,False,2016
37,Outstanding Character Voice-Over Performance,False,2017
37,Outstanding Animated Program,False,2017
37,Outstanding Individual Achievement In Animation (Juried),True,2018
